DAY,INDEX_VALUE
2024-03-10 00:00:00.000,162.996205987
2024-03-11 00:00:00.000,169.811675541
2024-03-12 00:00:00.000,166.572716238
2024-03-13 00:00:00.000,167.791978211
2024-03-14 00:00:00.000,163.538156397
2024-03-15 00:00:00.000,158.041693932
2024-03-16 00:00:00.000,151.384765837
2024-03-17 00:00:00.000,155.437624181
2024-03-18 00:00:00.000,152.184487352
2024-03-19 00:00:00.000,139.440039781
2024-03-20 00:00:00.000,151.824098889
2024-03-21 00:00:00.000,150.792342016
2024-03-22 00:00:00.000,145.122295134
2024-03-23 00:00:00.000,147.162343632
2024-03-24 00:00:00.000,150.201333224
2024-03-25 00:00:00.000,155.28736853
2024-03-26 00:00:00.000,154.914499653
2024-03-27 00:00:00.000,152.115513664
2024-03-28 00:00:00.000,154.826023805
2024-03-29 00:00:00.000,153.41644695
2024-03-30 00:00:00.000,152.554586227
2024-03-31 00:00:00.000,156.683954289
2024-04-01 00:00:00.000,152.104720655
2024-04-02 00:00:00.000,144.708063946
2024-04-03 00:00:00.000,145.595493297
2024-04-04 00:00:00.000,145.929275952
2024-04-05 00:00:00.000,145.712384844
2024-04-06 00:00:00.000,147.658183578
2024-04-07 00:00:00.000,149.316824567
2024-04-08 00:00:00.000,158.417774871
2024-04-09 00:00:00.000,151.469809018
2024-04-10 00:00:00.000,152.666756865
2024-04-11 00:00:00.000,151.162887029
2024-04-12 00:00:00.000,141.111317114
2024-04-13 00:00:00.000,134.655831055
2024-04-14 00:00:00.000,139.260053506
2024-04-15 00:00:00.000,137.091648467
2024-04-16 00:00:00.000,136.658508514
2024-04-17 00:00:00.000,133.263507429
2024-04-18 00:00:00.000,136.087074035
2024-04-19 00:00:00.000,135.210185233
2024-04-20 00:00:00.000,139.369279094
2024-04-21 00:00:00.000,138.849700466
2024-04-22 00:00:00.000,141.152494061
2024-04-23 00:00:00.000,141.153936658
2024-04-24 00:00:00.000,137.941594875
2024-04-25 00:00:00.000,139.051111802
2024-04-26 00:00:00.000,137.936511961
2024-04-27 00:00:00.000,141.996693138
2024-04-28 00:00:00.000,142.432771267
2024-04-29 00:00:00.000,141.02477903
2024-04-30 00:00:00.000,133.773039535
2024-05-01 00:00:00.000,132.364772394
2024-05-02 00:00:00.000,133.582665528
2024-05-03 00:00:00.000,137.767278147
2024-05-04 00:00:00.000,137.805074893
2024-05-05 00:00:00.000,138.675723799
2024-05-06 00:00:00.000,136.46143571
2024-05-07 00:00:00.000,134.575858019
2024-05-08 00:00:00.000,132.907708647
2024-05-09 00:00:00.000,135.80734728
2024-05-10 00:00:00.000,131.604205436
2024-05-11 00:00:00.000,131.778059156
2024-05-12 00:00:00.000,132.143216229
2024-05-13 00:00:00.000,132.407508874
2024-05-14 00:00:00.000,129.922678267
2024-05-15 00:00:00.000,135.025575296
2024-05-16 00:00:00.000,132.339982021
2024-05-17 00:00:00.000,137.438678471
2024-05-18 00:00:00.000,138.28929431
2024-05-19 00:00:00.000,136.283161432
2024-05-20 00:00:00.000,155.57174126
﻿
