DAY,DAILY_REVENUE,DAILY_EXPENSE,NET_PROFIT
2023-08-23 00:00:00.000,0,0,0
2023-08-22 00:00:00.000,0,0,0
2023-08-21 00:00:00.000,0,0,0
2023-08-20 00:00:00.000,0,0,0
2023-08-19 00:00:00.000,18.318419167,18.318419167,0
2023-08-18 00:00:00.000,0,0,0
2023-08-17 00:00:00.000,35.337041667,35.337041667,0
2023-08-16 00:00:00.000,0,0,0
2023-08-15 00:00:00.000,0,0,0
2023-08-14 00:00:00.000,22.6916345,22.6916345,0
2023-08-13 00:00:00.000,20.33394,20.33394,0
2023-08-12 00:00:00.000,27.244697425,27.244697425,0
2023-08-11 00:00:00.000,36.930083333,36.930083333,0
2023-08-10 00:00:00.000,0,0,0
2023-08-09 00:00:00.000,0,0,0
2023-08-08 00:00:00.000,31.167920117,31.167920117,0
2023-08-07 00:00:00.000,54.8541,54.8541,0
2023-08-06 00:00:00.000,18.307066667,18.307066667,0
2023-08-05 00:00:00.000,18.304433333,18.304433333,0
2023-08-04 00:00:00.000,24.424659692,24.424659692,0
2023-08-03 00:00:00.000,18.379270833,18.379270833,0
2023-08-02 00:00:00.000,27.218207625,27.218207625,0
2023-08-01 00:00:00.000,20.213797083,20.213797083,0
2023-07-31 00:00:00.000,1193.224056973,922.5909,270.633156973
2023-07-30 00:00:00.000,0,0,0
2023-07-29 00:00:00.000,0,0,0
2023-07-28 00:00:00.000,0,0,0
2023-07-27 00:00:00.000,0,11227.1425,-11227.1425
2023-07-26 00:00:00.000,0,0,0
2023-07-25 00:00:00.000,0,0,0
2023-07-24 00:00:00.000,0,0,0
2023-07-23 00:00:00.000,0,0,0
2023-07-22 00:00:00.000,18.8963375,18.8963375,0
2023-07-21 00:00:00.000,0,0,0
2023-07-20 00:00:00.000,0,0,0
2023-07-19 00:00:00.000,0,0,0
2023-07-18 00:00:00.000,0,0,0
2023-07-17 00:00:00.000,0,0,0
2023-07-16 00:00:00.000,0,0,0
2023-07-15 00:00:00.000,0,0,0
2023-07-14 00:00:00.000,0,0,0
2023-07-13 00:00:00.000,26.752086667,26.752086667,0
2023-07-12 00:00:00.000,62.1635575,62.1635575,0
2023-07-11 00:00:00.000,0,0,0
2023-07-10 00:00:00.000,0,0,0
2023-07-09 00:00:00.000,0,0,0
2023-07-08 00:00:00.000,0,0,0
2023-07-07 00:00:00.000,0,0,0
2023-07-06 00:00:00.000,0,0,0
2023-07-05 00:00:00.000,0,0,0
2023-07-04 00:00:00.000,0,0,0
2023-07-03 00:00:00.000,0,0,0
2023-07-02 00:00:00.000,0,0,0
2023-07-01 00:00:00.000,0,0,0
2023-06-30 00:00:00.000,0,0,0
2023-06-29 00:00:00.000,0,0,0
2023-06-28 00:00:00.000,0,0,0
2023-06-27 00:00:00.000,0,0,0
2023-06-26 00:00:00.000,0,0,0
2023-06-25 00:00:00.000,0,0,0
2023-06-24 00:00:00.000,0,0,0
2023-06-23 00:00:00.000,0,0,0
2023-06-22 00:00:00.000,0,0,0
2023-06-21 00:00:00.000,0,0,0
2023-06-20 00:00:00.000,0,0,0
2023-06-19 00:00:00.000,0,0,0
2023-06-18 00:00:00.000,0,0,0
2023-06-17 00:00:00.000,0,0,0
2023-06-16 00:00:00.000,0,0,0
2023-06-15 00:00:00.000,0,0,0
2023-06-14 00:00:00.000,0,0,0
2023-06-13 00:00:00.000,0,0,0
2023-06-12 00:00:00.000,0,0,0
2023-06-11 00:00:00.000,0,0,0
2023-06-10 00:00:00.000,0,0,0
2023-06-09 00:00:00.000,0,0,0
2023-06-08 00:00:00.000,0,0,0
2023-06-07 00:00:00.000,498.824249833,498.824249833,0
2023-06-06 00:00:00.000,146.840333333,0,146.840333333
2023-06-05 00:00:00.000,0,0,0
2023-06-04 00:00:00.000,0,0,0
2023-06-03 00:00:00.000,0,0,0
2023-06-02 00:00:00.000,0,0,0
2023-06-01 00:00:00.000,0,0,0
2023-05-31 00:00:00.000,0,0,0
2023-05-30 00:00:00.000,57.0932875,57.0932875,0
2023-05-29 00:00:00.000,56.990875,56.990875,0
2023-05-28 00:00:00.000,0,0,0
2023-05-27 00:00:00.000,18.280983333,18.280983333,0
2023-05-26 00:00:00.000,44.01583725,44.01583725,0
2023-05-25 00:00:00.000,39.478789167,39.478789167,0
2023-05-24 00:00:00.000,39.902811667,39.902811667,0
2023-05-23 00:00:00.000,20.3575075,20.3575075,0
2023-05-22 00:00:00.000,18.1252125,18.1252125,0
2023-05-21 00:00:00.000,0,0,0
2023-05-20 00:00:00.000,0,0,0
2023-05-19 00:00:00.000,18.103029167,18.103029167,0
2023-05-18 00:00:00.000,0,0,0
2023-05-17 00:00:00.000,0,0,0
2023-05-16 00:00:00.000,19.99372375,19.99372375,0
