DAY,COMPOSITION_ETH,COMPOSITION_USDC,COMPOSITION_WETH,COMPOSITION_DPI,COMPOSITION_PAXG,COMPOSITION_RETH,COMPOSITION_SOL,COMPOSITION_WBTC,COMPOSITION_WSTETH
2023-05-22,0.0,0.21408501756879725,0.0,0.11835570864933817,0.27189665357756804,0.037151589544871445,0.0012374552684823181,0.14309714167553902,0.21417643371540387
2023-05-23,0.0,0.21491497522894668,0.0,0.11742587881478271,0.2718946534028391,0.03723676456457976,0.001201852280430022,0.142609735576284,0.21471614013213777
2023-05-24,0.0,0.21271960653052233,0.0,0.11894072985405381,0.26863734153385427,0.03767336716283603,0.0012219761979850605,0.1434308257185365,0.21737615300221194
2023-05-25,0.0,0.0,0.0,0.0,0.6014578938484192,0.059449926018714905,0.3390921354293823,0.0,0.0
2023-05-26,0.0,0.0,0.0,0.0,0.6040497802943651,0.058790791898452224,0.3371594278071827,0.0,0.0
2023-05-27,0.0,0.0,0.0,0.0,0.6047905109764186,0.059666723982026826,0.33554276504155467,0.0,0.0
2023-05-28,0.0,0.0,0.0,0.0,0.6002030382063879,0.05950030322817821,0.34029665856543384,0.0,0.0
2023-05-29,0.0,0.0,0.0,0.0,0.5884909836503951,0.058899296326614885,0.35260972002299007,0.0,0.0
2023-05-30,0.0,0.0,0.0,0.0,0.5828576939518888,0.06035320924795681,0.35678909680015436,0.0,0.0
2023-05-31,0.0,0.0,0.0,0.0,0.577994832161006,0.059578752446150254,0.3624264153928437,0.0,0.0
2023-06-01,0.0,0.0,0.41356855630874634,0.31212130188941956,0.21938709914684296,0.05492299422621727,0.0,0.0,0.0
2023-06-02,0.0,0.0,0.4166869465267078,0.30687174218249025,0.2218841475688715,0.05455716372193051,0.0,0.0,0.0
2023-06-03,0.0,0.0,0.4199688240728732,0.30629424664922955,0.21901101764469968,0.05472591163319755,0.0,0.0,0.0
2023-06-04,0.0,0.0,0.4177211545791032,0.3108037923212531,0.2166171048600346,0.05485794823960906,0.0,0.0,0.0
2023-06-05,0.0,0.0,0.41984242484541173,0.31005073115251874,0.21531935484712778,0.05478748915494188,0.0,0.0,0.0
2023-06-06,0.0,0.0,0.409896007790227,0.31266625479433613,0.22125385565666453,0.05618388175877223,0.0,0.0,0.0
2023-06-07,0.0,0.0,0.41852812022429153,0.31013831324670627,0.21655317342852523,0.05478039310047701,0.0,0.0,0.0
2023-06-08,0.39649468660354614,0.0,0.39649468660354614,0.0,0.0,0.0,0.0,0.0,0.20701059699058533
2023-06-09,0.3986909483115464,0.0,0.3986909483115464,0.0,0.0,0.0,0.0,0.0,0.2026181033769072
2023-06-10,0.3985800242242774,0.0,0.3985800242242774,0.0,0.0,0.0,0.0,0.0,0.2028399515514452
2023-06-11,0.3952470865550426,0.0,0.3952470865550426,0.0,0.0,0.0,0.0,0.0,0.2095058268899148
2023-06-12,0.3985740430722123,0.0,0.3985740430722123,0.0,0.0,0.0,0.0,0.0,0.20285191385557538
2023-06-13,0.3986179133051881,0.0,0.3986179133051881,0.0,0.0,0.0,0.0,0.0,0.20276417338962374
2023-06-14,0.39831725388065403,0.0,0.39831725388065403,0.0,0.0,0.0,0.0,0.0,0.20336549223869185
2023-06-15,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.25
2023-06-16,0.0,0.0,0.25990110990609,0.0,0.0,0.24619660572008414,0.24769484154630486,0.0,0.24620744282752108
2023-06-17,0.0,0.0,0.25901159541056945,0.0,0.0,0.24529275297607936,0.2501030068704139,0.0,0.24559264474293718
2023-06-18,0.0,0.0,0.25683214766726925,0.0,0.0,0.2460189134750815,0.25074149037217536,0.0,0.24640744848547386
2023-06-19,0.0,0.0,0.2548291944089053,0.0,0.0,0.24380150621446484,0.25710026136044534,0.0,0.2442690380161845
2023-06-20,0.0,0.0,0.25790678352357743,0.0,0.0,0.24362494641903948,0.25457634271761476,0.0,0.24389192733976836
2023-06-21,0.0,0.0,0.25827565376241546,0.0,0.0,0.24382252578123653,0.253767190465439,0.0,0.24413462999090893
2023-06-22,0.4896462559700012,0.0,0.4896462559700012,0.0,0.0,0.0,0.0,0.020707497373223305,0.0
2023-06-23,0.4895684621425351,0.0,0.4895684621425351,0.0,0.0,0.0,0.0,0.02086307571492984,0.0
2023-06-24,0.489388798180508,0.0,0.489388798180508,0.0,0.0,0.0,0.0,0.021222403638983946,0.0
2023-06-25,0.489422656522835,0.0,0.489422656522835,0.0,0.0,0.0,0.0,0.021154686954329982,0.0
2023-06-26,0.4894951290765393,0.0,0.4894951290765393,0.0,0.0,0.0,0.0,0.021009741846921462,0.0
2023-06-27,0.48941690738631344,0.0,0.48941690738631344,0.0,0.0,0.0,0.0,0.02116618522737306,0.0
2023-06-28,0.48949300043019234,0.0,0.48949300043019234,0.0,0.0,0.0,0.0,0.021013999139615436,0.0
2023-06-29,0.0,0.0,0.0,0.0,0.3762829601764679,0.0,0.2474340796470642,0.3762829601764679,0.0
2023-06-30,0.0,0.0,0.0,0.0,0.3677374741318385,0.0,0.2623976510868705,0.3698648747812908,0.0
2023-07-01,0.0,0.0,0.0,0.0,0.35873676875586413,0.0,0.2767155907229374,0.36454764052119853,0.0
2023-07-02,0.0,0.0,0.0,0.0,0.36259537335255837,0.0,0.2745886927185181,0.36281593392892353,0.0
2023-07-03,0.0,0.0,0.0,0.0,0.3606345181873212,0.0,0.2775575492671538,0.36180793254552485,0.0
2023-07-04,0.0,0.0,0.0,0.0,0.3573780921907959,0.0,0.2772780834633259,0.3653438243458783,0.0
2023-07-05,0.0,0.0,0.0,0.0,0.3575470371015412,0.0,0.27716699387184407,0.36528596902661487,0.0
2023-07-06,0.0,0.20996637642383575,0.2334364503622055,0.021183501929044724,0.0,0.32392072677612305,0.17131324112415314,0.0,0.04017969220876694
2023-07-07,0.0,0.20935594293136336,0.22576160163920608,0.02084306361344436,0.0,0.3222520914186881,0.18180095134081203,0.0,0.03998634905648607
2023-07-08,0.0,0.21046154945323034,0.22900671473391324,0.019887498545385227,0.0,0.3133037837572101,0.18849312034013294,0.0,0.03884733317012817
